           1 - subshell number
           1 - subshell index
   K (1s1/2) - subshell label
  3.4565E+04 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          3          0       2.94521E+04  2.55988E-01
          4          0       2.97813E+04  4.74077E-01
          6          0       3.35665E+04  4.45027E-02
          7          0       3.36294E+04  8.62775E-02
          8          0       3.38651E+04  4.38977E-04
          9          0       3.38785E+04  5.99496E-04
         11          0       3.43953E+04  9.33064E-03
         12          0       3.44080E+04  1.81979E-02
         13          0       3.44862E+04  8.18305E-05
         14          0       3.44882E+04  1.11539E-04
         18          0       3.45436E+04  9.56254E-04
         19          0       3.45450E+04  1.80819E-03
          2          2       2.37222E+04  8.66166E-03
          2          3       2.40352E+04  1.02644E-02
          2          4       2.43644E+04  1.23564E-02
          2          5       2.80171E+04  3.08562E-03
          2          6       2.81496E+04  1.95658E-03
          2          7       2.82125E+04  2.38363E-03
          2          8       2.84482E+04  1.53828E-04
          2          9       2.84616E+04  1.67791E-04
          2         10       2.89307E+04  6.64150E-04
          2         11       2.89784E+04  3.96230E-04
          2         12       2.89911E+04  4.79527E-04
          2         13       2.90693E+04  2.76823E-05
          2         14       2.90713E+04  2.98489E-05
          2         17       2.91155E+04  9.46053E-05
          2         18       2.91267E+04  4.09221E-05
          2         19       2.91281E+04  4.69406E-05
          3          3       2.43482E+04  1.25048E-03
          3          4       2.46774E+04  2.62988E-02
          3          5       2.83301E+04  1.51823E-03
          3          6       2.84626E+04  4.28008E-04
          3          7       2.85255E+04  4.24412E-03
          3          8       2.87612E+04  1.83434E-04
          3          9       2.87746E+04  6.15039E-04
          3         10       2.92437E+04  3.14624E-04
          3         11       2.92914E+04  8.49746E-05
          3         12       2.93041E+04  8.25682E-04
          3         13       2.93823E+04  3.24971E-05
          3         14       2.93843E+04  1.08087E-04
          3         17       2.94285E+04  4.45331E-05
          3         18       2.94398E+04  8.66599E-06
          3         19       2.94411E+04  8.06413E-05
          4          4       2.50066E+04  1.31388E-02
          4          5       2.86593E+04  1.78907E-03
          4          6       2.87918E+04  4.13904E-03
          4          7       2.88547E+04  4.35297E-03
          4          8       2.90904E+04  7.31324E-04
          4          9       2.91038E+04  6.73074E-04
          4         10       2.95729E+04  3.69038E-04
          4         11       2.96206E+04  8.09080E-04
          4         12       2.96333E+04  8.51687E-04
          4         13       2.97115E+04  1.29275E-04
          4         14       2.97135E+04  1.18682E-04
          4         17       2.97577E+04  5.22368E-05
          4         18       2.97689E+04  8.32919E-05
          4         19       2.97703E+04  8.32919E-05
          5          5       3.23120E+04  2.70593E-04
          5          6       3.24445E+04  2.92261E-04
          5          7       3.25074E+04  3.47861E-04
          5          8       3.27431E+04  2.11847E-05
          5          9       3.27565E+04  2.23884E-05
          5         10       3.32256E+04  1.16271E-04
          5         11       3.32733E+04  5.92216E-05
          5         12       3.32860E+04  7.00556E-05
          5         13       3.33642E+04  3.85184E-06
          5         14       3.33662E+04  4.09250E-06
          5         17       3.34104E+04  1.66113E-05
          5         18       3.34216E+04  6.01855E-06
          5         19       3.34230E+04  6.98139E-06
          6          6       3.25771E+04  3.51465E-05
          6          7       3.26400E+04  6.78846E-04
          6          8       3.28756E+04  2.28686E-05
          6          9       3.28890E+04  7.58282E-05
          6         10       3.33582E+04  6.06623E-05
          6         11       3.34058E+04  1.39611E-05
          6         12       3.34185E+04  1.32398E-04
          6         13       3.34967E+04  4.09224E-06
          6         14       3.34987E+04  1.34806E-05
          6         17       3.35429E+04  8.66606E-06
          6         18       3.35542E+04  1.44436E-06
          6         19       3.35556E+04  1.29992E-05
          7          7       3.27029E+04  3.61812E-04
          7          8       3.29385E+04  9.62873E-05
          7          9       3.29519E+04  8.64198E-05
          7         10       3.34211E+04  7.19762E-05
          7         11       3.34687E+04  1.33125E-04
          7         12       3.34815E+04  1.41782E-04
          7         13       3.35596E+04  1.70917E-05
          7         14       3.35617E+04  1.54066E-05
          7         17       3.36058E+04  1.01101E-05
          7         18       3.36171E+04  1.37213E-05
          7         19       3.36185E+04  1.37213E-05
          8          9       3.31876E+04  1.13060E-05
          8         10       3.36567E+04  4.42382E-06
          8         11       3.37044E+04  4.42382E-06
          8         12       3.37171E+04  1.84328E-05
          8         14       3.37973E+04  1.96617E-06
          8         17       3.38415E+04  7.37293E-07
          8         18       3.38527E+04  4.91529E-07
          8         19       3.38541E+04  1.72029E-06
          9          9       3.32010E+04  2.73182E-06
          9         10       3.36701E+04  4.71854E-06
          9         11       3.37178E+04  1.46525E-05
          9         12       3.37305E+04  1.66394E-05
          9         13       3.38086E+04  1.98682E-06
          9         14       3.38107E+04  9.93361E-07
          9         17       3.38549E+04  7.45035E-07
          9         18       3.38661E+04  1.49009E-06
          9         19       3.38675E+04  1.49009E-06
         10         10       3.41393E+04  1.26247E-05
         10         11       3.41869E+04  1.23819E-05
         10         12       3.41996E+04  1.45671E-05
         10         13       3.42778E+04  7.28344E-07
         10         14       3.42798E+04  7.28344E-07
         10         17       3.43240E+04  3.64173E-06
         10         18       3.43353E+04  1.21391E-06
         10         19       3.43367E+04  1.45671E-06
         11         11       3.42346E+04  1.42393E-06
         11         12       3.42473E+04  2.56306E-05
         11         13       3.43255E+04  7.11955E-07
         11         14       3.43275E+04  2.37328E-06
         11         17       3.43717E+04  1.66117E-06
         11         18       3.43830E+04  2.37328E-07
         11         19       3.43843E+04  2.61053E-06
         12         12       3.42600E+04  1.39612E-05
         12         13       3.43382E+04  3.12947E-06
         12         14       3.43402E+04  2.88873E-06
         12         17       3.43844E+04  2.16649E-06
         12         18       3.43957E+04  2.64799E-06
         12         19       3.43971E+04  2.64799E-06
         13         14       3.44184E+04  5.34297E-07
         13         19       3.44752E+04  5.34297E-07
         14         18       3.44759E+04  4.27857E-07
         14         19       3.44773E+04  4.27857E-07
         17         17       3.45088E+04  2.81545E-07
         17         18       3.45200E+04  2.81545E-07
         17         19       3.45214E+04  2.81545E-07
         18         19       3.45327E+04  3.41278E-07
         19         19       3.45341E+04  2.40729E-07
 
           2 - subshell number
           2 - subshell index
   L1(2s1/2) - subshell label
  5.4532E+03 - subshell binding energy (eV)
           2 - number of electrons when neutral
 
     Transitions
      Secondary  Tertiary    Transition   Transition
      Subshell   Subshell    Energy(eV)   Probability
          3          0       3.13000E+02  1.98398E-05
          4          0       6.42200E+02  3.73327E-04
          6          0       4.42743E+03  1.38829E-02
          7          0       4.49034E+03  2.18758E-02
          8          0       4.72599E+03  2.06838E-04
          9          0       4.73938E+03  3.08777E-04
         11          0       5.25621E+03  2.99258E-03
         12          0       5.26892E+03  4.83886E-03
         13          0       5.34706E+03  2.51578E-05
         14          0       5.34912E+03  3.82137E-05
         18          0       5.40455E+03  3.40147E-04
         19          0       5.40594E+03  5.28266E-04
          3         10       1.04630E+02  5.69431E-02
          3         11       1.52310E+02  4.06576E-02
          3         12       1.65020E+02  5.15253E-02
          3         13       2.43160E+02  1.31854E-02
          3         14       2.45220E+02  2.18037E-02
          3         17       2.89390E+02  7.77756E-03
          3         18       3.00650E+02  3.96775E-03
          3         19       3.02040E+02  4.77790E-03
          4         10       4.33830E+02  7.43055E-02
          4         11       4.81510E+02  3.23640E-02
          4         12       4.94220E+02  6.09524E-02
          4         13       5.72360E+02  6.22297E-02
          4         14       5.74420E+02  8.00767E-02
          4         17       6.18590E+02  1.02309E-02
          4         18       6.29850E+02  3.22316E-03
          4         19       6.31240E+02  5.81492E-03
          5          5       3.17290E+03  1.34704E-02
          5          6       3.30543E+03  2.67210E-02
          5          7       3.36834E+03  4.93433E-02
          5          8       3.60399E+03  3.87315E-02
          5          9       3.61738E+03  5.46919E-02
          5         10       4.08653E+03  4.95078E-03
          5         11       4.13421E+03  5.29200E-03
          5         12       4.14692E+03  9.69018E-03
          5         13       4.22506E+03  5.94375E-03
          5         14       4.22712E+03  8.34214E-03
          5         17       4.27129E+03  6.89327E-04
          5         18       4.28255E+03  5.44942E-04
          5         19       4.28394E+03  9.47105E-04
          6          6       3.43796E+03  1.55808E-04
          6          7       3.50087E+03  9.80531E-04
          6          8       3.73652E+03  1.09226E-03
          6          9       3.74991E+03  1.43276E-02
          6         10       4.21906E+03  3.95236E-03
          6         11       4.26674E+03  3.26282E-05
          6         12       4.27945E+03  1.81912E-04
          6         13       4.35759E+03  1.68037E-04
          6         14       4.35965E+03  1.47329E-03
          6         17       4.40382E+03  5.26152E-04
          6         18       4.41508E+03  3.26282E-06
          6         19       4.41647E+03  1.79464E-05
          7          7       3.56378E+03  1.15513E-03
          7          8       3.79943E+03  9.88891E-03
          7          9       3.81282E+03  6.71326E-03
          7         10       4.28197E+03  7.29570E-03
          7         11       4.32965E+03  1.82737E-04
          7         12       4.34236E+03  3.46720E-04
          7         13       4.42050E+03  8.84304E-04
          7         14       4.42256E+03  6.19996E-04
          7         17       4.46673E+03  9.71613E-04
          7         18       4.47799E+03  1.87633E-05
